DocId,ProcessedTweet,OriginalTweet
3364,obama ta medio cagado el otro se pint de negro para intimidar y aadirle barrio a esa jeta de oligarca republicano buen tipo #debates,Obama ta medio cagado --  el otro se pint de negro para intimidar y aadirle barrio a esa jeta de oligarca republicano. Buen tipo. #debates
1,tweeting and debatingrt president obama over the last months weve seen million jobs in the private sector created,Tweeting AND debating?!RT @BarackObama: President Obama: Over the last 30 months --  weve seen 5 million jobs in the private sector created.
4,president obama patted mitt romney on the shoulder to tell people that he is in control usually the higher ranking person is on the right,President Obama patted Mitt Romney on the shoulder to tell people that he is in control. Usually the higher ranking person is on the Right!
5,the question is not where we've been but where we are going president obama #debate2012,The question is not where we've been --  but where we are going! -President Obama #debate2012
6,i'm sure you couldn't imagine a more romantic place than here with me #ohromney #gayjokes #awkward #presidentialdebate,I'm sure you couldn't imagine a more romantic place than here with me. #ohromney #gayjokes #awkward #presidentialdebate
7,i wish i could #debates these fools stop #mudslingin and start fixing shit,I wish I could #debates these fools stop #mudslingin and start fixing shit
8,professor and students from #electionclass watch the #debates in our social media lab,Professor @rotolo and students from #ElectionClass watch the #debates in our social media lab - http://t.co/ZBMJAhK0
10,we should put both of them in a ring and let them fight it out #presidentialdebate,We should put both of them in a ring and let them fight it out. #PresidentialDebate
13,i want to notice he doesn't say what he has done #2012debate #romneyryan2012 #obamaisntworking #cantafford4more,I want to... Notice he doesn't say what he HAS done #2012Debate #RomneyRyan2012 #ObamaIsntworking #CantAfford4More
14,if you even have the thought of voting for obama fuck you #america #romney,RT @AlecDomenick: If you even have the thought of voting for Obama fuck you! #America #Romney
16,where were your ideas for hiring educators for the past years #byebyeobama #debate2012 #romneyryan2012,where were your ideas for hiring educators for the past 4 years? #byebyeobama #debate2012 #RomneyRyan2012
18,love that is doing live fact checks wonder how many people they've got working those #debates,Love that @nytimes is doing live fact checks. Wonder how many people they've got working those #debates
19,out of ericans are living in poverty or with low income stein #occupythedebates #denverdebate,1 out of 2 Americans are living in poverty or with low income. -Stein  http://t.co/29asb4zY #occupythedebates #denverdebate
22,this commentator for the presidential debate is no perd hapley this next statement is a question #debates #yaheard,This commentator for the Presidential debate is no Perd Hapley! This next statement is a question... #debates #yaheard @parksandrecnbc
23,barack giving a shoutout to his wife before anything thats love #debates,Barack giving a shoutout to his wife before anything. Thats love #debates
26,obama starts off debate by wishing michelle a happy wedding anniversary #debates,Obama starts off debate by wishing Michelle a happy wedding anniversary. #debates
30,prez stress rt hair zing president obama looks marginally greyer than governor romney despite being 14yrs younger #pmtdebate,Prez stress RT @piersmorgan: HAIR ZING! President Obama looks marginally greyer than Governor Romney --  despite being 14yrs younger #PMTdebate
33,president barack obama d and mitt romney r discuss domestic policy at the first presidential debate from the university of denver,President Barack Obama (D) and Mitt Romney (R) discuss domestic policy at the first presidential debate --  from the University of Denver.
37,obama has been president for nearly of his marriage poor michelle,Obama has been president for nearly 20% of his marriage. Poor Michelle.
38,i'm bout to watch mitt romney get owned by barack obama,I'm bout to watch Mitt Romney get OWNED by Barack Obama.
45,#debates governor romney does not seem happy to be at meeting number five,#debates Governor Romney does not seem happy to be at meeting number five
