DocId,Tweet,Processed,Score
3364,Obama ta medio cagado --  el otro se pint de negro para intimidar y aadirle barrio a esa jeta de oligarca republicano. Buen tipo. #debates,obama ta medio cagado el otro se pint de negro para intimidar y aadirle barrio a esa jeta de oligarca republicano buen tipo #debates,24.652455
1,Tweeting AND debating?!RT @BarackObama: President Obama: Over the last 30 months --  weve seen 5 million jobs in the private sector created.,tweeting and debatingrt president obama over the last months weve seen million jobs in the private sector created,27.048997999999997
4,President Obama patted Mitt Romney on the shoulder to tell people that he is in control. Usually the higher ranking person is on the Right!,president obama patted mitt romney on the shoulder to tell people that he is in control usually the higher ranking person is on the right,17.84903
5,The question is not where we've been --  but where we are going! -President Obama #debate2012,the question is not where we've been but where we are going president obama #debate2012,17.025456000000002
6,I'm sure you couldn't imagine a more romantic place than here with me. #ohromney #gayjokes #awkward #presidentialdebate,i'm sure you couldn't imagine a more romantic place than here with me #ohromney #gayjokes #awkward #presidentialdebate,11.225045999999999
7,I wish I could #debates these fools stop #mudslingin and start fixing shit,i wish i could #debates these fools stop #mudslingin and start fixing shit,14.021548
8,Professor @rotolo and students from #ElectionClass watch the #debates in our social media lab - http://t.co/ZBMJAhK0,professor and students from #electionclass watch the #debates in our social media lab,14.577955
10,We should put both of them in a ring and let them fight it out. #PresidentialDebate,we should put both of them in a ring and let them fight it out #presidentialdebate,9.71736
13,I want to... Notice he doesn't say what he HAS done #2012Debate #RomneyRyan2012 #ObamaIsntworking #CantAfford4More,i want to notice he doesn't say what he has done #2012debate #romneyryan2012 #obamaisntworking #cantafford4more,13.537606
14,RT @AlecDomenick: If you even have the thought of voting for Obama fuck you! #America #Romney,if you even have the thought of voting for obama fuck you #america #romney,6.301686
16,where were your ideas for hiring educators for the past 4 years? #byebyeobama #debate2012 #RomneyRyan2012,where were your ideas for hiring educators for the past years #byebyeobama #debate2012 #romneyryan2012,12.849383000000001
18,Love that @nytimes is doing live fact checks. Wonder how many people they've got working those #debates,love that is doing live fact checks wonder how many people they've got working those #debates,26.295271
19,1 out of 2 Americans are living in poverty or with low income. -Stein  http://t.co/29asb4zY #occupythedebates #denverdebate,out of ericans are living in poverty or with low income stein #occupythedebates #denverdebate,10.644976
22,This commentator for the Presidential debate is no Perd Hapley! This next statement is a question... #debates #yaheard @parksandrecnbc,this commentator for the presidential debate is no perd hapley this next statement is a question #debates #yaheard,24.098237
23,Barack giving a shoutout to his wife before anything. Thats love #debates,barack giving a shoutout to his wife before anything thats love #debates,24.399607
26,Obama starts off debate by wishing Michelle a happy wedding anniversary. #debates,obama starts off debate by wishing michelle a happy wedding anniversary #debates,30.469327
30,Prez stress RT @piersmorgan: HAIR ZING! President Obama looks marginally greyer than Governor Romney --  despite being 14yrs younger #PMTdebate,prez stress rt hair zing president obama looks marginally greyer than governor romney despite being 14yrs younger #pmtdebate,12.929155000000002
33,President Barack Obama (D) and Mitt Romney (R) discuss domestic policy at the first presidential debate --  from the University of Denver.,president barack obama d and mitt romney r discuss domestic policy at the first presidential debate from the university of denver,32.006324
37,Obama has been president for nearly 20% of his marriage. Poor Michelle.,obama has been president for nearly of his marriage poor michelle,12.43951
38,I'm bout to watch Mitt Romney get OWNED by Barack Obama.,i'm bout to watch mitt romney get owned by barack obama,15.76922
45,#debates Governor Romney does not seem happy to be at meeting number five,#debates governor romney does not seem happy to be at meeting number five,13.609976
46,Good thing they color coordinated their ties so we wouldn't get confused about which candidate was which. #PresidentialDebate,good thing they color coordinated their ties so we wouldn't get confused about which candidate was which #presidentialdebate,20.36887
47,Well yes. Obama: Let me talk specifically about what I think we need do. First --  weve got to improve our education system. #DenverDebate,well yes obama let me talk specifically about what i think we need do first weve got to improve our education system #denverdebate,33.14284800000001
48,if u only knew what was going on in the world u wouldn't want Obama as our president #RomneyRyan2012 bye twitter.,if u only knew what was going on in the world u wouldn't want obama as our president #romneyryan2012 bye twitter,18.390646
49,if u support mitt romney u r living ur life wrong ((i am canadian and i know that)),if u support mitt romney u r living ur life wrong i am canadian and i know that,12.058340000000001
51,Mitt trying to be on point. But are they the same points he will stand behind tomorrow. #debates,mitt trying to be on point but are they the same points he will stand behind tomorrow #debates,14.876597
53,it's unclear to me why Pres Obama believes the federal government should be in charge of hiring teachers #denverdebate,it's unclear to me why pres obama believes the federal government should be in charge of hiring teachers #denverdebate,15.082715
58,I just feel so bad for Obama. He's hella nice but he's a bad president,i just feel so bad for obama he's hella nice but he's a bad president,16.486829
59,Interesting --  relatable(?) start for the president --  discusses anniversary with Mrs. Hmmm. #Debates #voteRIT,interesting relatable start for the president discusses anniversary with mrs hmmm #debates #voterit,25.393153999999996
61,RT @NARAL: Romney supports a smaller government - except when it comes to a womans right to choose. #debates #presdebate,romney supports a smaller government except when it comes to a womans right to choose #debates #presdebate,17.925686
62,Mitt Romney is frantically writing a Happy Anniversary card to the Obamas.  He forgot!,mitt romney is frantically writing a happy anniversary card to the obamas he forgot,13.985131999999998
63,@LUCINDAMOORE1 Romne is not realistic at all. Why take the U.S backwards and not forwards. #TeamObama,romne is not realistic at all why take the us backwards and not forwards #teamobama,12.172546
66,Barack Obama is probably the realist President we could ever have. #Obama2012 !,barack obama is probably the realist president we could ever have #obama2012,15.271832
68,The first thing out of Obama fat month is a lie! #debates,the first thing out of obama fat month is a lie #debates,14.525803
