DocId,Tweet,Score,ProecessedTweet,RetweetCount
2869,Mitt Romney doesn't know what it takes to get small business going. He knows what it take to get jobs going to China. #p2 #tcot #debate,69.03783,mitt romney doesn't know what it takes to get small business going he knows what it take to get jobs going to china #p2 #tcot #debate,0
1265,Small business is what creates jobs. I am 23 --  own a small business and pay two employees. Support small business. #Debate #GOP #Romney #USA,65.001245,small business is what creates jobs i am own a small business and pay two employees support small business #debate #gop #romney #usa,0
308,Romney: Small business creates the jobs in America. Indeed. Big business just takes those jobs to China. #Debates,62.029419000000004,romney small business creates the jobs in america indeed big business just takes those jobs to china #debates,0
824,Romney on Jobs: Get U.S. energy independent --  crackdown on China --  get balanced budget --  champion small business #PatchPolitics #DenverDebate,61.830276000000005,romney on jobs get us energy independent crackdown on china get balanced budget champion small business #patchpolitics #denverdebate,4
1731,ABOUT TO GET MY POPCORN N WATCH DA PRESIDENTIAL DEBATE CUZ #TEAMOBAMA IS GONNA MAKE #TEAMROMNEY LOOK LIKE A PIECE OF SHIT OF A CAMPAIGN LMAO,60.94377999999999,about to get my popcorn n watch da presidential debate cuz #teamobama is gonna make #teamromney look like a piece of shit of a campaign lmao,0
4007,that must be so awkward to stand together like friends --  they're like I hope you slip and fail --  just like your policies #debates,58.868139,that must be so awkward to stand together like friends they're like i hope you slip and fail just like your policies #debates,0
3296,Damn straight! Energy independent! Small businesses! Obama kisses foreign ASS & beats small businesses ass! #FAIL #Debate #tcot,57.23675899999999,damn straight energy independent small businesses obama kisses foreign ass beats small businesses ass #fail #debate #tcot,0
472,CNBC/NYT: Did President Obama Really Cut Small Business Taxes 18 Times? http://t.co/fqLKftFd yes: tax cuts & 'tax incentives' #debate2012,57.20093000000001,cnbcnyt did president obama really cut small business taxes times yes tax cuts tax incentives #debate2012,0
514,It is so surreal seeing President Obama speak in real time. I get to see it so rarely. I feel like I'm watching a prepared speech #debates,55.242006,it is so surreal seeing president obama speak in real time i get to see it so rarely i feel like i'm watching a prepared speech #debates,0
1666,#Romney : we need to crack down on China --  champion small businesses --  I know what it takes to hire ppl and get small businesses going again,55.069012,#romney we need to crack down on china champion small businesses i know what it takes to hire ppl and get small businesses going again,0
