DocId,Topic,Doc,Topic Distribution ....
1,2,Tweeting AND debating?!RT @BarackObama: President Obama: Over the last 30 months --  weve seen 5 million jobs in the private sector created.,0.0008,0.9992,,
2,1,I'm not one for politics but it irks me that people would actually for Mitt Romney. Get your fucking knowledge up,0.9990,0.0010,,
3,1,I wonder what they think in their heads while the other one is speaking. Lol #PresidentialDebate,0.9986,0.0014,,
4,2,President Obama patted Mitt Romney on the shoulder to tell people that he is in control. Usually the higher ranking person is on the Right!,0.0007,0.9993,,
5,2,The question is not where we've been --  but where we are going! -President Obama #debate2012,0.0020,0.9980,,
6,2,I'm sure you couldn't imagine a more romantic place than here with me. #ohromney #gayjokes #awkward #presidentialdebate,0.0012,0.9988,,
7,2,I wish I could #debates these fools stop #mudslingin and start fixing shit,0.0012,0.9988,,
8,2,Professor @rotolo and students from #ElectionClass watch the #debates in our social media lab - http://t.co/ZBMJAhK0,0.0012,0.9988,,
9,1,#Debate2012  #Obama2012   I'm a broke college student --  just because my parents got it don't mean I do. #WritingMyOwnLegacy,0.9990,0.0010,,
10,2,We should put both of them in a ring and let them fight it out. #PresidentialDebate,0.0020,0.9980,,
11,2,My husband likes the President's tie. Just thought y'all should know. @chriswilson02: I like Obama's tie.,0.3639,0.6361,,
12,1,Top down approach?  Not Obama you idiot.  But at least they agree on energy...  #PresidentialDebate,0.9988,0.0012,,
13,2,I want to... Notice he doesn't say what he HAS done #2012Debate #RomneyRyan2012 #ObamaIsntworking #CantAfford4More,0.0012,0.9988,,
14,2,RT @AlecDomenick: If you even have the thought of voting for Obama fuck you! #America #Romney,0.0014,0.9986,,
15,1,Shall we compare Obama's 'trickle down economics' to Cameron's cuts? Which country is not in recession? #debates #UKSpin,0.9991,0.0009,,
16,2,where were your ideas for hiring educators for the past 4 years? #byebyeobama #debate2012 #RomneyRyan2012,0.0012,0.9988,,
17,1,Obama's doing really well not to let his smirk turn into a full blown giggle while Mitt talks. #debates,0.9992,0.0008,,
18,2,Love that @nytimes is doing live fact checks. Wonder how many people they've got working those #debates,0.0010,0.9990,,
19,2,1 out of 2 Americans are living in poverty or with low income. -Stein  http://t.co/29asb4zY #occupythedebates #denverdebate,0.0012,0.9988,,
20,1,What time capsule does the Commission on Presidential Debates store this set in every four years? #debates,0.9991,0.0009,,
21,1,When did Mitt Romney become a Democrat? Maybe after them 47% comments. #Debate2012,0.9986,0.0014,,
22,2,This commentator for the Presidential debate is no Perd Hapley! This next statement is a question... #debates #yaheard @parksandrecnbc,0.0010,0.9990,,
23,2,Barack giving a shoutout to his wife before anything. Thats love #debates,0.0012,0.9988,,
24,1,@CapehartJ: Romney: I know what it takes to get small biz going again. #Debates <~~ hmmmmmm?,0.9989,0.0011,,
25,1,The dude on Key & Peele sound just like president Obama! Haha,0.9989,0.0011,,
26,2,Obama starts off debate by wishing Michelle a happy wedding anniversary. #debates,0.0011,0.9989,,
27,1,I'll just go for Obama because Mitt Romney is a racist motherfucker but i really don't care who's president --  lol.,0.9991,0.0009,,
28,1,Watching the debate even tho I honestly dnt care --  I already know who im voting for !! #TeamOBAMA,0.9991,0.0009,,
29,1,Omg Obama you're legit saying what I just said in my where I stand essay please be president for ever,0.9991,0.0009,,
30,2,Prez stress RT @piersmorgan: HAIR ZING! President Obama looks marginally greyer than Governor Romney --  despite being 14yrs younger #PMTdebate,0.0007,0.9993,,
31,1,Mitt Romney can't even look this man in the eye....stop looking down at your notes --  punk.,0.9989,0.0011,,
32,1,RT @FratBoysComedy: Mitt Romney is getting ready for the #debate by sending dick pics to himself.,0.9988,0.0012,,
33,2,President Barack Obama (D) and Mitt Romney (R) discuss domestic policy at the first presidential debate --  from the University of Denver.,0.0007,0.9993,,
34,1,For what Obama is saying --  it sounds fairly intelligent but I wanted an answer to the question #election2012,0.9989,0.0011,,
35,1,I got kinda tickled when Romney mentioned the Presidents Anniversary like he really cares #Debates,0.8176,0.1824,,
36,1,#Obama scores 1st lie. The auto industry in not blazing back. GM is underwater again. #Debate2012 #wpro2012,0.9992,0.0008,,
37,2,Obama has been president for nearly 20% of his marriage. Poor Michelle.,0.0017,0.9983,,
38,2,I'm bout to watch Mitt Romney get OWNED by Barack Obama.,0.0014,0.9986,,
39,1,.@MittRomney's awkward smirk when he's not speaking is going to get real uncomfortable real quick. #PresidentialDebate,0.9991,0.0009,,
40,1,The market testing meter is annoying. #debates. I'm a #citizen not a consumer.,0.8561,0.1439,,
41,1,That smirk that Romney always has on his face just irks me. He is NOT to be trusted! #Obama2012,0.9988,0.0012,,
42,1,PRESIDENT Obama RT @BarackObama The auto industry has come roaring back --  and housing has begun to rise.President Obama,0.9991,0.0009,,
43,1,If it wasn't for Obamacare --  I would of died in the hospital a year ago.  #Obama2012,0.9983,0.0017,,
