WordId,Word,Degree,Frequency,DegBYFreq
1,tweeting,31.000000,16.000000,1.937500
3,president,1015.000000,439.000000,2.312073
4,obama,2148.000000,840.000000,2.557143
5,last,73.000000,29.000000,2.517241
6,months,33.000000,19.000000,1.736842
7,weve,55.000000,17.000000,3.235294
8,seen,69.000000,22.000000,3.136364
9,million,108.000000,35.000000,3.085714
10,jobs,256.000000,122.000000,2.098361
11,private,40.000000,14.000000,2.857143
12,sector,41.000000,14.000000,2.928571
13,created,48.000000,18.000000,2.666667
14,one,177.000000,98.000000,1.806122
15,politics,18.000000,9.000000,2.000000
17,people,232.000000,96.000000,2.416667
18,actually,79.000000,34.000000,2.323529
19,mitt,1619.000000,507.000000,3.193294
20,romney,1913.000000,673.000000,2.842496
21,get,188.000000,96.000000,1.958333
22,fucking,11.000000,5.000000,2.200000
24,wonder,17.000000,17.000000,1.000000
25,think,116.000000,72.000000,1.611111
27,speaking,33.000000,16.000000,2.062500
28,lol,75.000000,32.000000,2.343750
29,#presidentialdebate,100.000000,63.000000,1.587302
30,patted,5.000000,1.000000,5.000000
31,shoulder,1.000000,1.000000,1.000000
32,tell,41.000000,28.000000,1.464286
33,control,15.000000,6.000000,2.500000
35,higher,14.000000,6.000000,2.333333
36,ranking,3.000000,1.000000,3.000000
37,person,13.000000,8.000000,1.625000
38,right,133.000000,70.000000,1.900000
39,question,188.000000,123.000000,1.528455
40,going,145.000000,121.000000,1.198347
41,#debate2012,25.000000,9.000000,2.777778
42,sure,103.000000,63.000000,1.634921
43,imagine,20.000000,18.000000,1.111111
44,romantic,78.000000,38.000000,2.052632
45,place,71.000000,35.000000,2.028571
49,wish,40.000000,27.000000,1.481481
50,#debates,435.000000,201.000000,2.164179
51,fools,3.000000,1.000000,3.000000
52,stop,29.000000,13.000000,2.230769
53,#mudslingin,3.000000,1.000000,3.000000
54,start,87.000000,42.000000,2.071429
55,fixing,6.000000,3.000000,2.000000
56,shit,70.000000,30.000000,2.333333
57,professor,1.000000,1.000000,1.000000
58,students,44.000000,17.000000,2.588235
59,#electionclass,2.000000,1.000000,2.000000
60,watch,187.000000,82.000000,2.280488
61,social,12.000000,4.000000,3.000000
62,media,12.000000,5.000000,2.400000
63,lab,3.000000,1.000000,3.000000
64,#obama2012,31.000000,21.000000,1.476190
66,college,42.000000,16.000000,2.625000
67,student,12.000000,4.000000,3.000000
68,just,535.000000,200.000000,2.675000
69,parents,7.000000,7.000000,1.000000
70,got,88.000000,52.000000,1.692308
71,mean,18.000000,9.000000,2.000000
73,put,36.000000,18.000000,2.000000
74,ring,3.000000,2.000000,1.500000
75,let,80.000000,33.000000,2.424242
76,fight,21.000000,15.000000,1.400000
77,husband,21.000000,11.000000,1.909091
78,likes,2.000000,1.000000,2.000000
79,president's,17.000000,7.000000,2.428571
80,tie,185.000000,73.000000,2.534247
81,thought,12.000000,10.000000,1.200000
82,y'all,9.000000,4.000000,2.250000
83,know,122.000000,75.000000,1.626667
84,like,321.000000,142.000000,2.260563
85,obama's,254.000000,95.000000,2.673684
86,top,57.000000,40.000000,1.425000
87,approach,20.000000,9.000000,2.222222
88,idiot,5.000000,4.000000,1.250000
89,least,20.000000,11.000000,1.818182
90,agree,38.000000,26.000000,1.461538
91,energy,34.000000,13.000000,2.615385
92,want,101.000000,70.000000,1.442857
93,notice,16.000000,8.000000,2.000000
94,say,139.000000,64.000000,2.171875
95,done,28.000000,21.000000,1.333333
96,#2012debate,7.000000,4.000000,1.750000
97,#romneyryan2012,12.000000,6.000000,2.000000
99,#cantafford4more,6.000000,3.000000,2.000000
100,even,66.000000,32.000000,2.062500
101,voting,20.000000,16.000000,1.250000
102,fuck,27.000000,12.000000,2.250000
104,#romney,239.000000,95.000000,2.515789
107,trickle,64.000000,49.000000,1.306122
108,economics,5.000000,4.000000,1.250000
110,cuts,20.000000,3.000000,6.666667
111,country,18.000000,14.000000,1.285714
114,ideas,32.000000,14.000000,2.285714
115,hiring,13.000000,6.000000,2.166667
116,educators,2.000000,1.000000,2.000000
117,past,23.000000,13.000000,1.769231
118,years,74.000000,51.000000,1.450980
120,really,135.000000,60.000000,2.250000
121,well,71.000000,35.000000,2.028571
122,smirk,2.000000,1.000000,2.000000
123,turn,21.000000,15.000000,1.400000
124,full,22.000000,10.000000,2.200000
127,talks,22.000000,12.000000,1.833333
128,love,150.000000,94.000000,1.595745
129,live,182.000000,59.000000,3.084746
130,fact,33.000000,15.000000,2.200000
131,checks,9.000000,3.000000,3.000000
132,many,63.000000,27.000000,2.333333
133,working,9.000000,4.000000,2.250000
135,living,17.000000,5.000000,3.400000
136,poverty,3.000000,2.000000,1.500000
137,low,150.000000,47.000000,3.191489
138,income,27.000000,9.000000,3.000000
139,stein,10.000000,4.000000,2.500000
141,#denverdebate,118.000000,48.000000,2.458333
142,time,160.000000,73.000000,2.191781
145,presidential,328.000000,122.000000,2.688525
146,debates,72.000000,40.000000,1.800000
147,store,3.000000,1.000000,3.000000
148,set,10.000000,4.000000,2.500000
151,become,5.000000,2.000000,2.500000
152,democrat,4.000000,2.000000,2.000000
155,commentator,1.000000,1.000000,1.000000
156,debate,624.000000,288.000000,2.166667
157,perd,2.000000,1.000000,2.000000
158,hapley,2.000000,1.000000,2.000000
159,next,59.000000,26.000000,2.269231
160,statement,37.000000,15.000000,2.466667
162,barack,318.000000,94.000000,3.382979
163,giving,27.000000,13.000000,2.076923
164,shoutout,11.000000,6.000000,1.833333
165,wife,131.000000,91.000000,1.439560
166,anything,54.000000,24.000000,2.250000
167,thats,20.000000,8.000000,2.500000
168,takes,8.000000,3.000000,2.666667
169,small,16.000000,6.000000,2.666667
170,biz,2.000000,1.000000,2.000000
172,dude,5.000000,3.000000,1.666667
173,key,12.000000,7.000000,1.714286
175,sound,31.000000,12.000000,2.583333
176,haha,7.000000,5.000000,1.400000
177,starts,73.000000,29.000000,2.517241
178,wishing,65.000000,36.000000,1.805556
179,michelle,200.000000,81.000000,2.469136
180,happy,334.000000,123.000000,2.715447
181,wedding,85.000000,28.000000,3.035714
182,anniversary,618.000000,260.000000,2.376923
183,go,139.000000,67.000000,2.074627
184,racist,6.000000,3.000000,2.000000
186,care,37.000000,23.000000,1.608696
187,watching,200.000000,128.000000,1.562500
188,tho,4.000000,1.000000,4.000000
191,already,81.000000,34.000000,2.382353
192,#teamobama,28.000000,13.000000,2.153846
193,omg,20.000000,9.000000,2.222222
195,saying,78.000000,37.000000,2.108108
196,said,177.000000,66.000000,2.681818
197,stand,12.000000,8.000000,1.500000
199,please,93.000000,37.000000,2.513514
200,ever,62.000000,25.000000,2.480000
201,prez,12.000000,9.000000,1.333333
202,stress,2.000000,1.000000,2.000000
203,hair,51.000000,18.000000,2.833333
204,zing,8.000000,5.000000,1.600000
205,looks,150.000000,46.000000,3.260870
207,greyer,3.000000,3.000000,1.000000
208,governor,53.000000,21.000000,2.523810
210,14yrs,4.000000,2.000000,2.000000
211,younger,4.000000,2.000000,2.000000
213,look,93.000000,47.000000,1.978723
214,man,104.000000,52.000000,2.000000
216,looking,27.000000,17.000000,1.588235
217,notes,9.000000,5.000000,1.800000
219,getting,37.000000,21.000000,1.761905
220,ready,33.000000,24.000000,1.375000
221,#debate,65.000000,29.000000,2.241379
223,dick,2.000000,1.000000,2.000000
225,d,7.000000,3.000000,2.333333
226,r,22.000000,6.000000,3.666667
227,discuss,9.000000,2.000000,4.500000
228,domestic,31.000000,9.000000,3.444444
229,policy,72.000000,24.000000,3.000000
230,first,489.000000,191.000000,2.560209
231,university,18.000000,10.000000,1.800000
