WordId,Word,TextRankScore
2862,renewable,0.699876
91,energy,5.258574
195,saying,2.689191
1998,lolol,0.594668
967,crack,2.544202
3600,#china,0.636203
19,mitt,24.965229
1093,annoys,0.433275
334,believes,0.772457
5941,particular,0.718549
323,romney's,4.796301
1706,yeah,1.260684
1705,heard,0.998900
5775,butthole,0.319744
66,college,2.214368
297,candidate,1.139772
3846,enough,0.629557
6432,rock,0.434908
484,house,0.895151
5519,warning,0.531998
433,guys,1.378792
1045,supposed,0.931822
2627,burn,0.600886
82,y'all,1.828047
622,stamps,0.411359
2622,study,0.759127
621,food,1.166101
2546,mf,0.631567
515,times,2.404783
3487,uh,2.183192
1670,lookin,1.347382
443,stickers,0.277491
351,rich,2.950545
957,strong,0.623880
745,schools,1.874091
831,making,1.439657
2347,mad,1.199200
1339,head,1.095042
203,hair,2.071450
6847,prefer,1.099941
1010,mitt's,1.399501
3599,kid,0.759320
765,taking,1.140162
5166,gorgeous,0.378039
70,got,3.153756
852,bet,0.820450
4679,tlkn,0.590714
1933,lying,1.715171
3212,nobody,1.232122
2457,management,0.460769
87,approach,0.672901
2378,echo,0.446323
3390,#cspan2012,0.994689
2888,arm,0.394841
216,looking,2.080831
4288,didnt,0.926464
2640,attention,1.644151
867,lets,1.097979
6030,gettin,0.555168
5699,idc,1.176070
665,economy,2.506463
1289,majority,0.462612
535,americans,1.472707
404,knows,1.272023
1413,grow,0.545665
56,shit,5.160207
385,wants,2.855353
387,america,4.019640
382,us,4.268895
675,new,2.689782
2316,n,1.973954
2283,power,0.674784
417,keep,1.827237
1762,bush,1.868806
60,watch,2.777638
781,account,0.418123
5013,lmaoooo,0.370853
1355,fox,1.850270
409,running,1.510283
410,path,1.210036
5935,produce,0.650425
92,want,3.983318
874,funny,1.424431
2399,moment,0.742194
5545,single,0.904552
14,one,2.961748
4499,liking,0.885771
2521,sling,0.624803
3687,latino,0.531331
1994,today,1.282388
3688,tan,0.989764
4120,denies,0.760842
285,cut,3.118694
815,#mitt,1.374962
20,romney,28.494119
196,said,2.772512
1008,voice,3.647742
2267,bloodshot,0.322889
1272,god,1.230123
2749,adorable,0.552067
529,idk,0.783198
270,always,1.556347
141,#denverdebate,3.231945
635,#tcot,3.408324
188,tho,1.267031
191,already,4.307305
438,eat,1.077855
2356,popcorn,0.786163
2210,republicans,1.404405
3073,abt,0.727837
2460,phrases,0.434736
2238,creepy,0.817984
175,sound,1.912755
271,face,3.216509
678,use,1.679982
1826,bain,1.077342
553,make,3.764399
3070,rain,0.206650
183,go,3.080111
6752,ohh,0.644545
291,good,2.209311
6382,jump,0.850503
169,small,9.443332
166,anything,2.055561
1426,trade,3.411299
830,agreements,0.679693
286,lmao,1.562619
5782,po,0.510394
156,debate,7.669656
200,ever,2.304855
2493,felt,0.488146
299,talk,1.999086
2659,#mute,0.613154
3223,india,0.341363
552,stupid,1.898726
794,allowed,0.519466
162,barack,2.702815
142,time,3.777322
4677,#solar,0.444442
1387,businesses,2.686946
127,talks,1.509155
1388,wind,1.674948
301,need,2.739506
303,education,3.411477
1674,excuse,0.842104
88,idiot,1.150226
5968,reelect,0.788842
3066,moderating,0.586887
933,oh,1.850072
6494,outsourcing,0.828322
1593,latin,1.836778
5275,happens,0.960463
22,fucking,1.915082
1030,expensive,0.628063
120,really,2.617326
124,full,1.861381
3446,happened,0.923853
1512,#cnbc2012,0.591048
1275,killed,1.130062
849,gets,1.156408
1938,abc,1.284852
146,debates,1.300652
996,growing,0.646833
391,class,3.109591
356,nice,1.801975
3364,goin,0.634725
10,jobs,6.207169
1554,left,0.571042
538,money,2.864158
3492,q,0.696506
389,creating,0.801956
705,anybody,0.987593
2035,em,1.262176
3356,imprison,1.128590
1187,w,1.997162
102,fuck,2.334108
2034,luv,1.036426
2033,dat,1.188763
101,voting,2.294468
100,even,2.486239
3977,foreign,1.031063
968,china,3.674016
3604,allows,0.491091
3601,cheats,0.710220
8084,bingo,0.495674
4776,extra,0.782850
683,hell,1.461530
1992,folks,1.184537
272,trusted,0.441650
2639,close,1.546736
1248,deficit,1.725803
1630,edu,0.446375
1631,training,1.895028
479,seems,1.399750
1212,started,1.572271
194,legit,0.977180
556,black,2.595795
7928,height,0.385616
4416,star,0.643732
6399,lmaoo,0.745527
23,knowledge,0.424572
1635,sneaky,0.674491
494,bastard,0.780145
1634,speaks,1.032593
132,many,1.680213
689,tweets,1.892050
32,tell,1.484699
2748,kidding,0.668692
2073,tag,0.970121
428,ass,5.764215
1315,claims,0.665588
682,dumb,1.989305
3134,jackass,0.408174
510,hold,1.298513
1005,serious,1.019963
1060,definitely,0.889600
1000,hear,2.917227
1002,wanna,2.536664
364,independence,1.729596
1345,educate,0.491170
5815,liberals,0.703666
951,asked,1.424129
1284,respond,0.640568
6485,spout,0.509523
1511,platitudes,0.776057
2835,helped,0.567017
694,proper,0.497101
1383,lies,1.390596
403,#mittromney,2.188437
262,uncomfortable,0.790476
1558,nervous,1.226912
587,tune,0.576776
504,nigga,3.177438
690,hate,1.431768
2980,ha,3.252872
1063,took,1.528804
6441,zero,0.971807
3307,hour,0.566920
205,looks,4.897724
4415,goddamn,0.590978
2707,gotten,0.837072
1717,botox,0.680895
4600,involved,0.630900
915,big,1.874757
837,cant,1.678680
2514,slap,0.878498
907,damn,2.070764
1976,promise,1.283929
1977,kept,1.372382
2167,comedy,1.030066
1246,central,0.988746
638,create,2.358351
402,#jobs,0.990028
1026,ain't,2.579026
445,stay,1.329162
606,home,1.198461
652,invest,2.768046
1817,correct,0.359980
1818,shade,0.761317
4769,ross,0.922830
28,lol,2.869732
6277,wilson,0.521318
38,right,4.298292
128,love,1.419301
1204,plans,0.711269
1809,sandwich,0.849995
561,minutes,1.745874
1663,west,0.862834
4404,bashing,0.334491
2096,booming,0.430986
472,thanks,1.215438
3007,pbs,0.699070
3754,declared,0.421943
639,prices,0.597417
640,failed,0.817518
352,gonna,2.577730
133,working,1.147493
1066,#p2,1.614682
2335,fan,1.201659
4660,labor,0.668942
4394,fair,0.705635
1551,corporations,1.723051
418,#ndaa,0.788029
528,run,0.988017
1703,barry,0.659080
2072,hash,1.069068
1603,sake,0.410374
1604,cuz,1.060143
5437,f,1.203476
1263,nixon,0.693898
2705,ask,1.223210
805,hire,1.039734
1424,fire,0.907054
5274,doubt,0.646280
666,great,2.052082
3043,reagan,1.254834
668,term,1.431413
677,patriotism,1.266063
676,economic,1.875624
460,now,3.978994
3209,liar,1.121601
497,work,1.158950
1633,#shevotes,0.282506
4930,whip,0.487794
184,racist,1.323101
2890,piece,0.717023
1250,code,1.309305
6536,skate,0.408537
723,decided,0.642018
2983,usa,0.628476
541,raising,0.769536
816,something,1.547296
2813,#democrats,0.972931
3233,dhat,0.725847
896,solar,1.852378
1087,failing,0.551633
1613,hes,1.266635
2006,hahaha,1.032580
1032,spending,1.789120
835,school,1.309314
69,parents,1.994331
3026,mix,0.399244
363,better,3.143233
5214,saw,0.521961
3512,enjoy,0.452865
1660,staring,0.785556
495,help,2.661323
1589,constipated,0.530290
1428,balance,1.287090
2442,debt,0.707078
4564,includes,0.732848
2462,lost,1.140473
54,start,1.742165
6278,hurt,0.528082
1713,policies,0.929432
5428,justin,0.571610
1137,follow,1.011767
244,#obama,5.327685
692,#sorry,0.337062
2184,coming,0.906273
96,#2012debate,0.779018
1084,#nobama,1.499074
179,michelle,1.856448
878,speech,1.319551
2657,minute,1.727044
1505,games,0.580318
1083,tonight's,1.395177
3225,bin,1.053121
238,#election2012,1.773733
1440,#politics,0.558627
1109,guy,3.218485
4071,given,0.598498
420,detention,0.661213
1421,#gop,1.682679
5286,repeating,0.287895
419,indefinite,0.544931
1510,lot,1.506826
67,student,1.210179
865,substance,0.653859
261,real,2.425295
3679,lmfaoo,0.394162
2312,vague,0.216755
1232,everything,1.940139
1871,speak,1.346955
2294,registered,0.839484
405,save,0.378953
4474,btw,0.483016
1542,sitting,0.968343
42,sure,2.088525
4924,douche,0.602397
6317,sentences,0.376254
4107,libyan,0.662179
4656,attacked,0.882976
2534,rebuplicans,0.370304
747,vote,3.715183
3788,ima,0.649172
3265,days,0.637671
1020,rise,0.654608
1587,tweet,0.751400
4284,folk,0.479652
71,mean,1.268713
2550,fool,0.856443
287,seem,0.744602
2022,worth,0.567047
1245,middleclass,0.670443
122,smirk,1.869136
890,ill,1.264240
2479,type,1.492152
95,done,1.228910
99,#cantafford4more,1.183497
627,white,1.692299
5179,moron,0.875808
507,joke,1.525187
2468,bc,1.417817
965,threatening,0.436920
1181,basic,0.752444
938,waiting,0.971813
2582,lines,0.492698
453,race,0.428173
991,#mockthevote,1.084325
3436,podium,0.524882
5236,rehearsed,0.818783
3022,hilarious,0.671836
5571,spray,0.750793
5573,booth,0.523632
1477,everybody,0.733861
4072,spends,0.580082
432,talking,3.014454
1595,champion,1.999518
2281,gov,1.387839
1854,listen,1.321328
3494,#denverdebates,1.186910
413,#ndaaruling,1.510807
